School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
Al Iman College - Early Learning Centre,Melton South,Early Learning Facilities Upgrade,Early childhood projects,144.5665409,-37.7080492
Al Siraat College,Epping,Building Fund for Non-Government Schools – Islamic Stream,Non-government grants,145.0375382,-37.624417
Alamanda K-9 College,Point Cook,Upgrade and Modernisation – expansion | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.740511,-37.908505
Albanvale Primary School,Albanvale,Minor Capital Works Fund,School upgrades,144.7746962,-37.7445842
Albany Rise Primary School,Mulgrave,Minor Capital Works Fund | School Pride and Sports Fund | School Improvement Fund,School upgrades,145.1724649,-37.9282181
Albert Park College,Albert Park,Upgrade and Modernisation - more classrooms and new campus | Upgrade and Modernisation - Environmental Arts Hub,School upgrades,144.9477312,-37.8447712
Albert Park Primary School,Albert Park,Minor Capital Works Fund | Upgrade and Modernisation - Heritage Victoria listed building | Upgrade and Modernisation - Moubray Street Community Park,School upgrades,144.9524162,-37.8419165
Albion North Primary School,Sunshine North,Inclusive Schools Fund,School upgrades,144.8234133,-37.7624448
Albion Primary School,Albion,Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,144.819626,-37.7775067
Aldercourt Primary School,Frankston North,"Upgrade and Modernisation - Block A and Sports Courts | Upgrade and Modernisation - Frankston North Education Plan | Upgrade and Modernisation, Planned Maintenance Program","School upgrades, Early childhood projects",145.1616015,-38.1170609
Alexander Magit Children and Family Centre,Ferntree Gully,Early Learning Facilities Upgrade,Early childhood projects,145.2528109,-37.9192919
Alexandra & District Kindergarten,Alexandra,New Early Learning Facility,Early childhood projects,145.7172609,-37.1941587
Alexandra Avenue Children's Centre,Sunshine,New Integrated Children's Centre,Early childhood projects,144.8375387,-37.7837122
Alexandra Primary School,Alexandra,Minor Capital Works Fund | Permanent Modular School Buildings Program,School upgrades,145.7118389,-37.1924861
Alfred Nuttall Memorial Kindergarten,Fairfield,Building Blocks Inclusion Grant | Early Childhood Refurbishment and Minor Works,Early childhood projects,145.022247,-37.771792
Alfredton Primary School,Alfredton,Minor Capital Works Fund,School upgrades,143.8020035,-37.5549688
Alkira Secondary College,Cranbourne North,Upgrade and Modernisation,School upgrades,145.3079237,-38.0739491
All Saints Anglican School,Shepparton North,Building Fund for Non-Government Schools – Independent | Non-Government Schools Capital Fund - 2022–23,Non-government grants,145.4151718,-36.3408863
Allansford and District Primary School,Allansford,Minor Capital Works Fund,School upgrades,142.5894817,-38.3861129
Alphington Grammar School,Alphington,Non-Government Schools Capital Fund,Non-government grants,145.0362033,-37.7803056
Alphington Primary School,Alphington,Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation - Stage 1 | Minor Capital Works Fund,School upgrades,145.0318881,-37.78373879999999
Alpine View Children's Centre,Bright,Building Blocks Capacity Grant - Expansion,Early childhood projects,146.9629262,-36.7350132
Altona College,Altona,Upgrade and Modernisation - Learning Community Wing | Inclusive Schools Fund | Upgrade and Modernisation,School upgrades,144.8185826,-37.8618239
Altona Early Years Hub,Altona,New Early Learning Facility,Early childhood projects,144.8188046,-37.8611109
Altona Green Primary School,Altona Meadows,Planning for an Upgrade and Modernisation | Inclusive Schools Fund - Round 7 | Minor Capital Works Fund,"Planning projects, School upgrades",144.784699,-37.886584
Altona Kindergarten,Altona,Building Blocks Improvement Grant – Play Space,Early childhood projects,144.8258015,-37.8677086
Altona Meadows Primary School,Altona Meadows,Schools Upgrade Fund,School upgrades,144.7797003,-37.8682745
Altona North Primary School,Altona North,Upgrade and Modernisation,School upgrades,144.8491585,-37.8377313
Altona Primary School,Altona,Upgrade and Modernisation – Fencing | Permanent Modular School Buildings Program,School upgrades,144.8223286,-37.86745
Alvie Primary School,Alvie,Schools Upgrade Fund,School upgrades,143.5034001,-38.2423562
Amsleigh Park Primary School,Oakleigh East,Minor Capital Works Fund | Inclusive Schools Fund | Upgrade and Modernisation,School upgrades,145.1088286,-37.9001344
Andersons Creek Primary School,Warrandyte,Minor Capital Works Fund,School upgrades,145.2079029,-37.7489815
Anglesea Primary School,Anglesea,Inclusive Schools Fund – Round 8,School upgrades,144.1912511,-38.3968369
Angliss Children's Centre,Footscray,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,144.9070023,-37.7967752
Anne Sgro Children’s Centre,Coburg,Building Blocks Improvement Grant,Early childhood projects,144.96082,-37.73421099999999
Anstruther Street Kindergarten,Echuca,Kindergarten on a School Site,Early childhood projects,144.7396832,-36.1280261
Antonine Sisters Child Care Centre,Coburg,Building Blocks Capacity Building Grant – Expansion,Early childhood projects,144.9703697,-37.7548174
Antonio Park Primary School,Mitcham,Inclusive Schools Fund,School upgrades,145.2061722,-37.8152958
Apollo Bay Kindergarten,Apollo Bay,Kindergarten on a School Site,Early childhood projects,143.6675853,-38.7551525
Apollo Bay P-12 College,Apollo Bay,Planned Maintenance Program,School upgrades,143.6612453,-38.7536414
Apollo Parkways Preschool,Greensborough,Building Blocks Improvement Grant | Building Blocks Improvement Grant - Early Learning Facility Upgrade | Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,145.105061,-37.6954407
Apollo Parkways Primary School,Greensborough,Minor Capital Works Fund - Round 2,School upgrades,145.1097447,-37.6879486
Apsley Primary School,Apsley,Schools Upgrade Fund,School upgrades,141.0823581,-36.9743061
Araluen Primary School,Sale,Capital Works Fund,School upgrades,147.0892418,-38.1080944
Ararat North Primary School,Ararat,Minor Capital Works Fund,School upgrades,142.9400047,-37.2743475
Ararat Primary School,Ararat,Upgrade and Modernisation,School upgrades,142.9377711,-37.2858424
Ararat Secondary College,Ararat,Upgrade and Modernisation,School upgrades,142.922124,-37.286014
Ararat West Primary School,Ararat,Capital Works Fund | Inclusive Schools Fund - Round 6 | Permanent Modular School Buildings Program,School upgrades,142.9208543,-37.2770368
Ardeer Kindergarten,Ardeer,Kindergarten on a School Site,Early childhood projects,144.7991945,-37.7814487
Ardeer Primary School,Ardeer,Capital Works Fund | Inclusive Schools Fund - Round 6 | School Pride and Sports Fund,School upgrades,144.8005381,-37.7809259
Ardeer South Primary School,Sunshine West,Inclusive Schools Fund – Round 9 | Minor Capital Works Fund,School upgrades,144.7988128,-37.7885093
Ardeer South Primary School Kindergarten (interim name),Sunshine West,Kindergarten on a School Site,Early childhood projects,144.7988128,-37.7885093
Ardmona Primary School,Ardmona,"Minor Capital Works Fund – Round 2 | School Pride and Sports Fund | Upgrade and Modernisation, Planned Maintenance Program",School upgrades,145.3127899,-36.3855934
Armadale Primary School,Armadale,Inclusive Schools Fund - Round 6,School upgrades,145.0177138,-37.8522276
Armstrong Creek School,Armstrong Creek,New School,New schools,144.367012,-38.2321945
Arnolds Creek Kindergarten,Harkness,Building Blocks Capacity Grant - Expansion,Early childhood projects,144.5461418,-37.6673509
Arnolds Creek Primary School,Melton West,Inclusive Schools Fund,School upgrades,144.5427575,-37.6662673
Ascot Vale Heights School,Ascot Vale,Upgrade and Modernisation | Planned Maintenance Program,School upgrades,144.932391,-37.776813
Ascot Vale Primary School,Ascot Vale,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.9260197,-37.7744207
Ascot Vale West Primary School,Ascot Vale,Upgrade and Modernisation,School upgrades,144.9110427,-37.7805592
Ashburton Primary School,Ashburton,Upgrade and Modernisation,School upgrades,145.083504,-37.8627116
Ashby Primary School,Geelong West,Minor Capital Works Fund - Round 2 | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.3469623,-38.1383296
Ashley Park Primary School,Doreen,New School | Minor Capital Works Fund,"New schools, School upgrades",145.1267185,-37.6144234
Ashwood High School,Ashwood,Upgrade and Modernisation,School upgrades,145.1036903,-37.8645262
Ashwood Memorial Kindergarten,Ashwood,Building Blocks Partnership | Building Blocks Planning Grant,Early childhood projects,145.1068931,-37.86018720000001
Ashwood School,Ashwood,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,145.1072376,-37.8592974
Aspendale Primary School,Aspendale,School Pride and Sports Fund,School upgrades,145.1001711,-38.0202224
Assisi Kindergarten Strathfieldsaye,Strathfieldsaye,Building Blocks Inclusion Grant - Buildings and Playgrounds | New Early Learning Facility,Early childhood projects,144.359589,-36.8051859
Athol Road Primary School,Springvale South,Inclusive Schools Fund - Round 6,School upgrades,145.1507837,-37.9703223
Attwood Child Care Centre & Kindergarten,Attwood,Building Blocks Improvement Grant,Early childhood projects,144.8820389,-37.6641725
Auburn High School,Hawthorn East,Upgrade and Modernisation - Stage 3 | Minor Capital Works Fund | Upgrade and Modernisation - Stage 2,School upgrades,145.0420182,-37.839931
Auburn Kindergarten and Child Care Centre,Hawthorn East,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.0464237,-37.8215907
Auburn South Preschool,Hawthorn East,Building Blocks Inclusion Grant | Building Blocks Capacity Grant - Expansion,Early childhood projects,145.0485771,-37.8406276
Auburn South Primary School,Hawthorn,Upgrade and Modernisation,School upgrades,145.0455568,-37.8395225
Aurora School,Blackburn South,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.1502907,-37.8398647
Australian Christian College Early Learners,Benalla,Early Learning Facilities Upgrade,Early childhood projects,145.9969343,-36.5543923
Australian Christian College Hume,Benella,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.9969343,-36.5543923
Australian International Academy of Education – Caroline Springs Senior Campus,Caroline Springs,Building Fund for Non-Government Schools – Islamic Stream,Non-government grants,144.7356782,-37.7431281
Australian Islamic Centre College,Newport,Building Fund for Non-Government Schools – Islamic Stream,Non-government grants,144.8631684,-37.8466014
Australian Light Foundation Early Learning Centre,Maribyrnong,New Early Learning Centre,Early childhood projects,144.8408813,-37.7977371
Ave Maria College,Aberfedie,Non-Government Schools Capital Fund,Non-government grants,144.8980039,-37.7566013
Ave Maria Kindergarten,Aberfeldie,Building Blocks Inclusion Grant | Building Blocks Capacity Grant - Expansion,Early childhood projects,144.8965269,-37.7569297
Avenel Preschool,Avenel,Early Learning Facility Upgrade,Early childhood projects,145.2378274,-36.9014634
Avila College,Mount Waverley,Non-Government Schools Capital Fund,Non-government grants,145.1333155,-37.8747896
Avoca Primary School,Avoca,Upgrade and Modernisation | Minor Capital Works Fund - Round 2,School upgrades,143.4753308,-37.08460669999999
Avondale Primary School,Avondale Heights,Upgrade and modernisation,School upgrades,144.8605393,-37.7676507
Avonsleigh Kindergarten,Avonsleigh,Building Blocks Improvement Grant,Early childhood projects,145.4739089,-37.9169381
Axedale Preschool,Axedale,Early Learning Facility Upgrade,Early childhood projects,144.5020075,-36.78695920000001
Axedale Primary School,Axedale,Inclusive Schools Fund,School upgrades,144.500856,-36.7860067
Bacchus Marsh College,Bacchus Marsh,Planning for an Upgrade and Modernisation | Upgrade and Modernisation,"Planning projects, School upgrades",144.4330162,-37.6858461
Bacchus Marsh Grammar,Bacchus Marsh,Non-Government Schools Capital Fund,Non-government grants,144.4316258,-37.6893238
Bacchus Marsh Montessori Uniting Kindergarten,Darley,Building Blocks Capacity Grant - Modular Kindergarten,Early childhood projects,144.4447312,-37.6585277
Bacchus Marsh Primary School,Bacchus Marsh,Minor Capital Works Fund - Round 2 | Inclusive Schools Fund - Round 6,School upgrades,144.4431036,-37.6730998
Baden Powell Kindergarten,Frankston South,Building Blocks Partnership,Early childhood projects,145.1075222,-38.1724888
Baden Powell P-9 College,Hoppers Crossing,Inclusive Schools Fund - Round 6 - Derrimut Heath Campus | Inclusive Schools Fund - Round 6 - Tarneit Campus | School Pride and Sports Fund,School upgrades,144.6949594,-37.8428213
Badger Creek Primary School,Healesville,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.5329474,-37.6803814
Baimbridge College,Hamilton,Upgrade and Modernisation | Planned Maintenance Program,School upgrades,142.0132358,-37.7339496
Bairnsdale Kindergarten Inc,Bairnsdale,Building Blocks Improvement Grant – Outdoor Learning Environment | Early Learning Facilities Upgrade,Early childhood projects,147.5993731,-37.8365866
Bairnsdale Primary School,Bairnsdale,Capital Works Fund,School upgrades,147.6233422,-37.826518
Bairnsdale Secondary College,Bairnsdale,Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation,School upgrades,147.6058714,-37.8285243
,,,School upgrades,143.3906074,-36.9847807
,,New School,New schools,143.3906074,-36.9847807
Balambalam Primary School Kindergarten (interim name),Clyde North,Kindergarten on a School Site,Early childhood projects,145.3532224,-38.081985
Balit Community Kindergarten,Northcote,Building Blocks Improvement Grant | Building Blocks Improvement Grant – Minor Infrastructure,Early childhood projects,144.9990291,-37.7692917
Ballam Park Preschool,Frankston,Building Blocks Improvement Grant,Early childhood projects,145.1634065,-38.148409
Ballam Park Primary School,Frankston,Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,145.1609219,-38.1483527
Ballan Early Education,Ballan,Kindergarten on a School Site,Early childhood projects,144.2254473,-37.6001469
Ballarat City Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning,Early childhood projects,143.7803147,-37.4585878
Ballarat High School,Ballarat,Upgrade and Modernisation – J. J. Sheehan Wing and Administration Building | Upgrade and Modernisation | Permanent Modular School Buildings Program,School upgrades,143.8170368,-37.5538536
Ballarat North Primary School,Ballarat,Minor Capital Works Fund,School upgrades,143.8628119,-37.540203
Ballarat Primary School (Dana Street),Ballarat,Minor Capital Works Fund,School upgrades,143.8534251,-37.564176
Ballarat Specialist Kindergarten,Lake Gardens,Building Blocks Capacity Grant – Expansion,Early childhood projects,143.819294,-37.5523838
Ballarat Specialist School,Lake Gardens,Hydrotherapy Pool | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,143.819294,-37.5523838
Ballarat Steiner School,Mt Helen,Non-Government Schools Capital Fund,Non-government grants,143.861618,-37.6409339
Ballarat Tech School,Ballarat Central,Tech Schools,Tech schools,143.8581754,-37.5660272
Balnarring Primary School,Balnarring,Minor Capital Works Fund,School upgrades,145.1229705,-38.3762893
Balwyn North Primary School,Balwyn North,Inclusive Schools Fund - Round 7,School upgrades,145.0767595,-37.79645379999999
Banmira Specialist School,Shepparton,Upgrade and Modernisation – Stage 1,School upgrades,145.4155089,-36.3675453
Bannockburn Family Services Centre,Bannockburn,Building Blocks Partnership,Early childhood projects,144.1739172,-38.0507371
Bannockburn P-12 College,Bannockburn,New school,New schools,144.161974,-38.0410575
Banum Warrik Primary School,Kalkallo,New School,New schools,144.9556179,-37.5208592
Banyan Fields Primary School,Carrum Downs,Upgrade and Modernisation,School upgrades,145.1868421,-38.095178
Banyule Nillumbik Tech School,Greensborough,Tech Schools,Tech schools,145.111752,-37.6879362
Banyule Primary School,Rosanna,Upgrade and Modernisation | Upgrade and Modernisation - Sport Facilities Renewal,School upgrades,145.0779393,-37.7430699
Baranbali Camperdown Kindergarten,Camperdown,Early Childhood Refurbishment and Minor Works | Early Learning Facilities Upgrade,Early childhood projects,143.1444549,-38.2337379
Barayip Primary School,Tarneit,New School,New schools,144.6411409,-37.8343533
Barayip Primary School Kindergarten,Tarneit,Kindergarten on a School Site,Early childhood projects,144.6411409,-37.8343533
Baringa Special School,Moe,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation,School upgrades,146.2574824,-38.1922482
Barnawartha Primary School,Barnawartha,Inclusive Schools Fund,School upgrades,146.6749453,-36.1022161
Barrawang Primary School,Wollert,New School,New schools,144.9934338,-37.5982792
Barrawang Primary School Kindergarten,Wollert,Kindergarten on a School Site,,144.9933653,-37.598653
Barry Beckett Children's Centre,Coburg,Building Blocks Improvement Grant - Early Learning Facility Upgrade,,144.9810705,-37.7363346
Barton Primary School,Cranbourne West,New School,,145.2403243,-38.1151052
Barwon Heads Primary School,Barwon Heads,Inclusive Schools Fund - Round 6,School upgrades,144.4870332,-38.2812534
Barwon Valley School,Belmont,Upgrade and Modernisation - Stage 2 | Inclusive Schools Fund - Round 5 | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.3269611,-38.1781721
BasicNeeds Australia,,Building Blocks Planning,Early childhood projects,143.3906074,-36.9847807
Bass Coast College,Wonthaggi,New Senior Campus - Wonthaggi Campus | Inclusive Schools Fund - Round 6 | Shared Facilities Fund - Wonthaggi Campus,School upgrades,145.5910459,-38.6059852
Bass Coast College - San Remo Campus,San Remo,New School Campus,New schools,145.3901954,-38.5290257
Bass Coast Shire Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning,Early childhood projects,145.5358152,-38.5087582
Bass Coast Specialist School,Wonthaggi,Hydrotherapy Pool | Upgrade and Modernisation | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.5971287,-38.6101172
Bass Valley Children's Centre,Corinella,New Early Learning Facility,Early childhood projects,145.4886474,-38.4309387
Bass Valley Primary School,Corinella,Minor Capital Works Fund,School upgrades,145.4878409,-38.4303976
Baw Baw Shire Council Kindergarten Infrastructure Planning Project,Warragul,Building Blocks Planning Grant,Early childhood projects,145.859718,-38.1352806
Baxter Primary School,Baxter,Permanent Modular School Buildings Program,School upgrades,145.1803131,-38.1994094
Bayles Kindergarten,Bayles,Building Blocks Inclusion Grant,Early childhood projects,145.571072,-38.17775280000001
Bayles Regional Primary School,Bayles,Permanent Modular School Buildings Program | Inclusive Schools Fund,School upgrades,145.5660719,-38.176126
Bayside P-12 College,Williamstown,Upgrade and Modernisation – Williamstown Campus | School Improvement Fund,School upgrades,144.8845139,-37.8577176
Bayside Special Developmental School,Moorabbin,Upgrade and Modernisation - Completion of Masterplan | Upgrade and Modernisation,School upgrades,145.0569427,-37.9429835
Bayswater Education Plan,,Education Plan,Planning projects,145.2704817,-37.8426014
Bayswater North Primary School,Bayswater North,Schools Upgrade Fund | Inclusive Schools Fund – Round 8,School upgrades,145.2953447,-37.8286462
,,,,143.3906074,-36.9847807
,,Upgrade and Modernisation,School upgrades,143.3906074,-36.9847807
Bayswater South Primary School,Bayswater,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,145.2613473,-37.8548967
Bayswater West Primary School,Bayswater,Inclusive Schools Fund - Round 6 | School Pride and Sports Fund,School upgrades,145.253015,-37.8493048
Beaconhills College,Pakenham,Building Fund for Non-Government Schools – Independent | Non-Government Schools Capital Fund – Berwick Campus | Non-Government Schools Capital Fund – Pakenham Campus,Non-government grants,145.4664372,-38.0606382
Beaconsfield Upper Primary School,BEACONSFIELD UPPER,Inclusive Schools Fund - Round 9,School upgrades,145.4150847,-37.995804
Bealiba Primary School,Bealiba,Minor Capital Works Fund,School upgrades,143.5518547,-36.78986769999999
Beaufort Early Childhood Centre,Beaufort,Building Blocks Capacity Grant – Modular Kindergarten,Early childhood projects,143.3831002,-37.4367672
Beaufort Primary School,Beaufort,Capital Works Fund | Inclusive Schools Fund - Round 9,School upgrades,143.3820037,-37.4385223
Beaufort Secondary College,Beaufort,Upgrade and Modernisation,School upgrades,143.3825954,-37.4383178
Beaumaris Secondary College,Beaumaris,New School - Stage 2 | New School,New schools,145.0336154,-37.9783181
Beeac Primary School,Beeac,Minor Capital Works Fund | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,143.6436088,-38.19411059999999
Beechworth Montessori School,Beechworth,Building Fund for Non-Government Schools – Independent,Non-government grants,146.6930551,-36.3672847
Beechworth Primary School,Beechworth,Upgrade and Modernisation,School upgrades,146.6928489,-36.35509589999999
Beechworth Secondary College,Beechworth,Upgrade and Modernisation – next stage | Upgrade and Modernisation,School upgrades,146.6906151,-36.3473626
Beis Menachem Community Centre,Bentleigh East,Building Blocks Capacity Grant – New integrated children's centre | Early Childhood Refurbishment and Minor Works,Early childhood projects,145.0590176,-37.9211594
Beleura Hill Preschool,Mornington,Building Blocks Inclusion Grant,Early childhood projects,145.0536657,-38.22091959999999
Belgrade Children's Centre,Wodonga,Building Blocks Capacity Grant - Expansion,Early childhood projects,146.9036636,-36.1282838
Belgrave South Primary School,Belgrave South,School Pride and Sports Fund,School upgrades,145.3583419,-37.9309082
Bell Park North Primary School,Bell Park,Minor Capital Works Fund,School upgrades,144.3356864,-38.1059095
Bell Post Hill Kindergarten,Bell Post Hill,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.3275485,-38.1003872
Bell Primary School,Preston,Upgrade and Modernisation – Next Stage | Upgrade and Modernisation,School upgrades,144.9907384,-37.7474842
Bellaire Primary School,Highton,Upgrade and Modernisation,School upgrades,144.321099,-38.179826
Bellarine Secondary College,Drysdale,"Capital Works Fund | Upgrade and Modernisation - VCE Centre | Upgrade and Modernisation, Planned Maintenance Program",School upgrades,144.5554312,-38.1912086
Bellbrae Primary School,Bellbrae,"Inclusive Schools Fund – Round 8 | Upgrade and Modernisation – gym, learning spaces, STEM facilities | Upgrade and Modernisation – water and sewerage works | Upgrade and Modernisation – amenities block",School upgrades,144.2622851,-38.333722
Bellbridge Early Years Learning Centre,Bellbridge,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,147.0619208,-36.0997629
Belle Vue Park Kindergarten,Glenroy,Early Childhood Refurbishment and Minor Works | Building Blocks Improvement Grant - Upgrade,Early childhood projects,144.943153,-37.7011556
Belle Vue Park Primary School,Glenroy,Minor Capital Works Fund – inclusive learning space | Minor Capital Works Fund – student toilets,School upgrades,144.9426261,-37.7007933
Bellevue Kindergarten,Balwyn North,Building Blocks Planning Grant,Early childhood projects,145.0740983,-37.7880723
Bellfield Community Hub,Bellfield,Building Blocks Capacity Grant - Integrated Children's Centres,Early childhood projects,145.0402352,-37.755629
Belmont High School,Belmont,Upgrade and Modernisation – STEM and health buildings | Upgrade and Modernisation,School upgrades,144.3305159,-38.1757552
Belmont Primary School,Belmont,Minor Capital Works Fund,School upgrades,144.342052,-38.1707058
Belmore School,Balwyn,Upgrade and Modernisation,School upgrades,145.081118,-37.8042694
Belvedere Park Primary School,Seaford,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,145.1469057,-38.1101715
Belvoir Wodonga Special Developmental School,West Wodonga,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,146.8538201,-36.1236377
Bembit Bag-rook Community Centre,Tarneit,Integrated Children's Centre,Early childhood projects,144.6834572,-37.8253193
Bemin Secondary College,Truganina,New School – additional stage | New School,New schools,144.7096201,-37.8267013
Benalla P–12 College,Benalla,Upgrade and Modernisation – Next Stage | Minor Capital Works Fund | Upgrade and Modernisation – New STEAM Building | Upgrade and Modernisation – Campus Relocation | Inclusive Schools Fund,School upgrades,145.9644448,-36.5533203
Benalla P–12 College – Clarke St Campus Kindergarten (interim name),Benalla,Kindergarten on a School Site,Early childhood projects,145.966278,-36.5542602
Bendigo Education Plan,,Education Plan,Planning projects,144.2785764,-36.75961960000001
Bendigo Primary School,Bendigo,Schools Upgrade Fund,School upgrades,144.2785764,-36.75961960000001
Bendigo Senior Secondary College,Bendigo,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation,School upgrades,144.2799313,-36.7551934
Bendigo South East 7–10 Secondary College,Bendigo,Minor Capital Works Fund — stadium toilet and change rooms | Minor Capital Works Fund — stadium floor,School upgrades,144.2982905,-36.7764913
Bendigo Special Developmental School,Kangaroo Flat,Upgrade and Modernisation | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,144.2403717,-36.79562749999999
Bendigo Tech School,Flora Hill,Tech Schools,Tech schools,144.2985622,-36.778696
Bendigo and District Aboriginal Cooperative Kindergarten (djimbaya),Bendigo North,New Early Learning Facility,Early childhood projects,144.2788988,-36.7289207
Bentleigh Early Child Education Cooperative,Bentleigh,Building Blocks Improvement Grant - Early Learning Facility Upgrade | Early Learning Facility Upgrade,Early childhood projects,145.0489715,-37.9329283
Bentleigh West Kindergarten,Bentleigh,Early Learning Facility Upgrade,Early childhood projects,145.029902,-37.924807
Bentleigh West Primary School,Bentleigh,Upgrade and Modernisation,School upgrades,145.0267669,-37.9195496
Benwerrin Kindergarten,Burwood East,Building Blocks Inclusion Grant,Early childhood projects,145.1419361,-37.85185999999999
Berwick Fields Primary School,Berwick,School Improvement Fund | Inclusive Schools Fund,School upgrades,145.3344891,-38.0495612
Berwick Secondary College,Berwick,"Minor Capital Works Fund | Upgrade and Modernisation | Inclusive Schools Fund, Planned Maintenance Program",School upgrades,145.3646256,-38.0312319
Beth Rivkah Ladies College,St Kilda,Building Fund for Non-Government Schools – Independent,Non-government grants,145.0009053,-37.8694946
Bethal Primary School,Meadow Heights,Upgrade and Modernisation,School upgrades,144.918219,-37.659406
Bethal Primary School Kindergarten,Meadow Heights,Building Blocks Capacity Grant - Expansion,Early childhood projects,144.9182162,-37.65879450000001
,,New School Campus,New schools,143.3906074,-36.9847807
Beverley Hills Primary School,Doncaster East,Capital Works Fund,School upgrades,145.1596322,-37.7965872
Bialik College Early Learning Centre,Hawthorn East,Building Blocks Improvement Grant - Upgrade,Early childhood projects,145.0445868,-37.8425844
Big Hill Primary School,Big Hill,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,144.2421209,-36.8306239
Billanook Primary School,Montrose,Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,145.338247,-37.825608
Billy Button Children’s Centre,Seddon,Education Plan,Early childhood projects,144.9004878,-37.8054752
Bimbadeen Heights Primary School,Mooroolbark,Upgrade and Modernisation,School upgrades,145.321867,-37.773971
Binap Primary School,Brookfield,New School,New schools,144.5445868,-37.70090649999999
